Regione;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
Piemonte;41;300;58.129;5,16;37;8,90;39;4,67;199;6,29;25;1,79
Val D'Aosta;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Lombardia;159;769;213.697;3,60;129;7,84;118;3,27;428;3,74;94;2,01
P.A. di Bolzano;5;8;7.659;1,04;4;11,87;-;-;4;0,84;-;-
P. A. di Trento;10;21;14.519;1,45;6;16,39;2;1,81;12;1,30;1;0,26
Veneto;31;52;43.700;1,19;5;1,40;2;0,25;39;1,74;6;0,61
Friuli V.G.;5;10;6.166;1,62;3;2,74;7;2,04;-;-;-;-
Liguria;18;55;23.109;2,38;4;8,99;4;2,65;33;2,33;14;2,00
Emilia Romagna;30;135;36.742;3,67;18;9,31;16;3,45;90;4,26;11;1,21
Toscana;30;110;51.220;2,15;25;10,46;15;2,40;58;2,15;12;0,77
Umbria;9;63;9.089;6,93;24;19,18;20;7,92;17;4,37;2;1,40
Marche;12;35;15.392;2,27;8;6,53;4;1,12;20;2,67;3;0,97
Lazio;192;525;253.698;2,07;56;5,81;84;3,29;313;1,97;72;1,20
Abruzzo;30;112;35.596;3,15;24;9,60;25;4,16;48;2,43;15;2,04
Molise;11;7;12.164;0,58;-;-;2;3,38;3;0,37;2;0,63
Campania;4;3;4.793;0,63;1;2,27;1;0,83;1;0,41;-;-
Puglia;51;267;64.734;4,12;57;13,81;67;7,67;115;3,10;28;1,89
Basilicata;11;8;14.147;0,57;5;2,80;3;1,23;-;-;-;-
Calabria;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Sicilia;75;326;91.152;3,58;37;12,39;66;7,96;172;3,01;51;2,24
Sardegna;11;6;13.703;0,44;2;1,67;1;0,43;2;0,27;1;0,37
