Settimana;Assistiti (0-4 anni);Assistiti (5-14 anni);Assistiti (15-64 anni);Assistiti (65 anni e oltre);Totale
2021-42;94.553;222.149;966.517;392.143;1.675.362
2021-43;94.514;222.316;973.394;394.608;1.684.832
2021-44;94.321;222.457;979.184;396.453;1.692.415
2021-45;94.084;222.109;996.232;403.680;1.716.105
2021-46;93.928;221.520;990.884;400.038;1.706.370
2021-47;94.291;222.875;995.588;402.782;1.715.536
2021-48;92.160;217.827;977.633;395.477;1.683.097
2021-49;90.818;214.842;972.540;395.066;1.673.266
2021-50;91.321;215.585;952.604;387.592;1.647.102
2021-51;90.073;212.607;931.279;378.998;1.612.957
2021-52;88.791;210.125;914.654;370.251;1.583.821
2022-01;87.524;206.349;902.193;366.269;1.562.335
2022-02;86.579;204.234;876.686;356.733;1.524.232
2022-03;84.366;200.049;861.376;350.880;1.496.671
2022-04;83.235;196.429;817.858;334.886;1.432.408
2022-05;74.285;174.564;740.561;302.800;1.292.210
2022-06;56.171;131.294;556.832;228.202;972.499
2022-07;;;;;
2022-08;;;;;
2022-09;;;;;
2022-10;;;;;
2022-11;;;;;
2022-12;;;;;
2022-13;;;;;
2022-14;;;;;
2022-15;;;;;
2022-16;;;;;
2022-17;;;;;
