Settimana;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
2021-42;1.281;4.252;1.675.362;2,54;866;9,16;612;2,75;2285;2,36;489;1,25
2021-43;1.288;4.964;1.684.832;2,95;1167;12,35;697;3,14;2575;2,65;525;1,33
2021-44;1.294;5.590;1.692.415;3,30;1285;13,62;829;3,73;2844;2,90;632;1,59
2021-45;1.310;6.666;1.716.105;3,88;1603;17,04;1053;4,74;3238;3,25;772;1,91
2021-46;1.299;7.288;1.706.370;4,27;1758;18,72;1155;5,21;3554;3,59;821;2,05
2021-47;1.307;7.806;1.715.536;4,55;1694;17,97;1250;5,61;3898;3,92;964;2,39
2021-48;1.281;7.555;1.683.097;4,49;1467;15,92;1186;5,44;3954;4,04;948;2,40
2021-49;1.273;7.069;1.673.266;4,22;1256;13,83;1054;4,91;3826;3,93;933;2,36
2021-50;1.256;7.527;1.647.102;4,57;1208;13,23;1110;5,15;4213;4,42;996;2,57
2021-51;1.231;7.820;1.612.957;4,85;1013;11,25;1059;4,98;4721;5,07;1027;2,71
2021-52;1.208;8.382;1.583.821;5,29;807;9,09;1025;4,88;5428;5,93;1122;3,03
2022-01;1.192;7.838;1.562.335;5,02;690;7,88;971;4,71;5118;5,67;1059;2,89
2022-02;1.166;7.583;1.524.232;4,97;678;7,83;951;4,66;4973;5,67;981;2,75
2022-03;1.143;6.838;1.496.671;4,57;735;8,71;989;4,94;4293;4,98;821;2,34
2022-04;1.098;5.426;1.432.408;3,79;710;8,53;850;4,33;3241;3,96;625;1,87
2022-05;987;4.040;1.292.210;3,13;576;7,75;671;3,84;2363;3,19;430;1,42
2022-06;737;2.816;972.499;2,90;445;7,92;476;3,63;1557;2,80;338;1,48
2022-07;;;;;;;;;;;;
2022-08;;;;;;;;;;;;
2022-09;;;;;;;;;;;;
2022-10;;;;;;;;;;;;
2022-11;;;;;;;;;;;;
2022-12;;;;;;;;;;;;
2022-13;;;;;;;;;;;;
2022-14;;;;;;;;;;;;
2022-15;;;;;;;;;;;;
2022-16;;;;;;;;;;;;
2022-17;;;;;;;;;;;;
