variant;number_cases_last_45_days;perc_cases_last_45_days;variant_sex_female_last_45_days;percent_variant_female_last_45_days;variant_sex_male_last_45_days;percent_variant_male_last_45_days;native_case_last_45_days;imported_case_last_45_days
B.1.1.7;0;0;0;0;0;0;0;0
B.1.1.7 + E484K;0;0;0;0;0;0;0;0
B.1.351;0;0;0;0;0;0;0;0
P.1;0;0;0;0;0;0;0;0
B.1.617.2;7;0,2;6;0,2;1;0;7;0
B.1.1.529 ;4175;89,7;2201;89,4;1974;90,1;3378;8
B.1.525;0;0;0;0;0;0;0;0
B.1.617.1;0;0;0;0;0;0;0;0
B.1.617.3;0;0;0;0;0;0;0;0
P.2;0;0;0;0;0;0;0;0
Other;470;10,1;254;10,3;216;9,9;428;1
