Settimana n.;Settimana;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Assistiti (0-4 anni);Casi (0-4 anni);Inc (0-4 anni);Assistiti (5-14 anni);Casi (5-14 anni);Inc (5-14 anni);Assistiti (15-64 anni);Casi (15-64 anni);Inc (15-64 anni);Assistiti (65 anni e oltre);Casi (65 anni e oltre);Inc (65 anni e oltre)
2004-42;11-14 ottobre 2004;650;210;845492;0,25;50056;40;0,80;101365;28;0,28;530787;109;0,21;163284;33;0,20
2004-43;18-24 ottobre 2004;697;332;907066;0,37;54252;67;1,23;110099;74;0,67;568037;158;0,28;174678;33;0,19
2004-44;25-31 ottobre 2004;755;284;985895;0,29;57434;51;0,89;118497;45;0,38;619812;159;0,26;190152;29;0,15
2004-45;1-7 novembre 2004;809;386;1054900;0,37;61081;60;0,98;127790;73;0,57;662601;203;0,31;203428;50;0,25
2004-46;8-14 novembre 2004;842;508;1095060;0,46;64379;64;0,99;133844;86;0,64;685807;278;0,41;211030;80;0,38
2004-47;15-21 novembre 2004;863;715;1118847;0,64;65920;107;1,62;136687;122;0,89;700633;395;0,56;215607;91;0,42
2004-48;22-28 novembre 2004;870;739;1128794;0,65;66429;90;1,35;138889;131;0,94;705692;431;0,61;217784;87;0,40
2004-49;29 novembre-5 dicembre 2004;862;869;1118415;0,78;64629;142;2,20;136480;135;0,99;700761;500;0,71;216545;92;0,42
2004-50;6-12 dicembre 2004;876;956;1135350;0,84;65726;153;2,33;137893;175;1,27;713189;517;0,72;218542;111;0,51
2004-51;13-19 dicembre 2004;872;1402;1130134;1,24;64968;202;3,11;137972;299;2,17;708896;734;1,04;218298;167;0,77
2004-52;20-26 dicembre 2004;859;1989;1116857;1,78;62685;288;4,59;132539;456;3,44;703559;1020;1,45;218074;225;1,03
2004-53;27 dicembre 2004-2 gennaio 2005;851;3195;1102496;2,90;65918;421;6,39;134826;559;4,15;689369;1735;2,52;212383;480;2,26
2005-01;3-9 gennaio 2005;859;3901;1116650;3,49;65114;411;6,31;133957;545;4,07;702112;2369;3,37;215467;576;2,67
2005-02;10-16 gennaio 2005;876;5749;1135002;5,07;67038;603;8,99;138490;1005;7,26;710822;3394;4,77;218652;747;3,42
2005-03;17-23 gennaio 2005;871;8926;1131789;7,89;65986;1175;17,81;137168;2209;16,10;709956;4295;6,05;218679;1247;5,70
2005-04;24-30 gennaio 2005;870;12797;1128454;11,34;65935;1527;23,16;136678;3453;25,26;708184;6362;8,98;217657;1455;6,68
2005-05;31 gennaio-6 febbraio 2005;863;15388;1120885;13,73;64730;1770;27,34;135412;4032;29,78;704100;7820;11,11;216643;1766;8,15
2005-06;7-13 febbraio 2005;867;16370;1122150;14,59;64409;1933;30,01;134464;3867;28,76;704953;8725;12,38;218324;1845;8,45
2005-07;14-20 febbraio 2005;852;14026;1103065;12,72;63394;1768;27,89;132760;3288;24,77;693348;7131;10,28;213563;1839;8,61
2005-08;21-27 febbraio 2005;842;10361;1089376;9,51;63338;1332;21,03;131808;2513;19,07;683047;5278;7,73;211183;1238;5,86
2005-09;28 febbraio-6 marzo 2005;813;7253;1050834;6,90;62660;954;15,23;129638;1765;13,61;656931;3583;5,45;201605;951;4,72
2005-10;7-13 marzo 2005;801;5147;1039688;4,95;59830;711;11,88;126082;1236;9,80;652276;2501;3,83;201500;699;3,47
2005-11;14-20 marzo 2005;731;3249;949596;3,42;52898;417;7,88;110840;662;5,97;599378;1658;2,77;186480;512;2,75
2005-12;21-27 marzo 2005;728;1940;945662;2,05;53592;258;4,81;113473;367;3,23;594895;1021;1,72;183702;294;1,60
2005-13;28 marzo-3 aprile 2005;709;1099;924574;1,19;51987;139;2,67;109096;174;1,59;583778;565;0,97;179713;221;1,23
2005-14;4-10 aprile 2005;674;789;874554;0,90;52331;98;1,87;106443;104;0,98;546157;416;0,76;169623;171;1,01
2005-15;11-17 aprile 2005;622;530;813623;0,65;48872;68;1,39;98480;71;0,72;508416;329;0,65;157855;62;0,39
2005-16;18-24 aprile 2005;419;261;543499;0,48;31214;48;1,54;63492;39;0,61;342131;158;0,46;106662;16;0,15
