Regione;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
Piemonte;43;394;61.608;6,40;69;21,18;68;9,44;222;6,25;35;2,24
Val D'Aosta;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Lombardia;161;1.099;215.675;5,10;200;12,58;187;5,13;611;5,23;101;2,17
P.A. di Bolzano;5;16;7.659;2,09;4;11,87;5;5,85;7;1,47;-;-
P. A. di Trento;12;36;17.554;2,05;1;3,02;1;0,89;31;2,75;3;0,62
Veneto;19;39;26.407;1,48;5;2,65;5;1,06;25;1,81;4;0,67
Friuli V.G.;4;7;4.966;1,41;1;1,18;2;0,81;4;3,73;-;-
Liguria;17;97;21.628;4,48;3;6,74;9;5,94;76;5,90;9;1,33
Emilia Romagna;28;173;35.593;4,86;45;27,08;13;3,58;104;4,90;11;1,21
Toscana;24;125;41.073;3,04;34;16,48;20;3,76;60;2,83;11;0,88
Umbria;5;51;4.218;12,09;19;18,54;24;10,90;8;11,30;-;-
Marche;15;107;18.381;5,82;10;5,46;22;4,72;70;8,26;5;1,46
Lazio;155;477;202.534;2,36;60;7,02;64;2,86;302;2,43;51;1,07
Abruzzo;30;160;35.198;4,55;48;18,99;53;9,00;53;2,69;6;0,85
Molise;11;17;12.164;1,40;-;-;-;-;14;1,72;3;0,95
Campania;19;21;25.200;0,83;7;3,13;3;0,61;10;0,73;1;0,23
Puglia;50;238;60.044;3,96;62;13,11;61;5,91;94;2,92;21;1,65
Basilicata;11;13;14.147;0,92;4;2,24;5;2,06;3;0,42;1;0,36
Calabria;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Sicilia;100;468;121.867;3,84;64;14,94;115;9,57;220;2,92;69;2,28
Sardegna;2;11;2.226;4,94;8;14,76;3;1,79;-;-;-;-
