Settimana;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
2021-42;1.292;4.252;1.692.921;2,51;866;9,04;612;2,73;2285;2,34;489;1,24
2021-43;1.301;4.966;1.705.579;2,91;1168;12,20;697;3,10;2576;2,61;525;1,31
2021-44;1.305;5.590;1.710.098;3,27;1285;13,45;829;3,69;2844;2,87;632;1,58
2021-45;1.320;6.673;1.732.539;3,85;1605;16,84;1053;4,70;3243;3,22;772;1,90
2021-46;1.310;7.301;1.724.391;4,23;1760;18,50;1157;5,17;3563;3,56;821;2,03
2021-47;1.319;7.816;1.735.060;4,50;1697;17,77;1252;5,56;3903;3,87;964;2,37
2021-48;1.298;7.589;1.709.524;4,44;1476;15,75;1192;5,40;3969;3,99;952;2,37
2021-49;1.295;7.111;1.706.097;4,17;1266;13,71;1063;4,88;3846;3,87;936;2,33
2021-50;1.285;7.583;1.689.382;4,49;1220;13,10;1115;5,08;4246;4,33;1002;2,53
2021-51;1.265;7.964;1.661.425;4,79;1031;11,14;1075;4,94;4818;5,01;1040;2,67
2021-52;1.245;8.550;1.635.065;5,23;817;8,95;1037;4,82;5553;5,86;1143;3,00
2022-01;1.236;8.069;1.623.870;4,97;704;7,79;988;4,65;5285;5,61;1092;2,87
2022-02;1.220;7.891;1.599.464;4,93;691;7,70;981;4,65;5187;5,61;1032;2,76
2022-03;1.205;7.272;1.581.979;4,60;742;8,36;1010;4,85;4616;5,04;904;2,45
2022-04;1.190;5.932;1.559.053;3,80;729;8,26;908;4,39;3584;3,98;711;1,95
2022-05;1.160;4.884;1.521.225;3,21;645;7,59;790;3,96;2904;3,30;545;1,53
2022-06;1.129;4.153;1.478.387;2,81;640;7,68;656;3,35;2356;2,76;501;1,45
2022-07;1.090;3.784;1.428.214;2,65;707;8,94;633;3,42;2012;2,43;432;1,29
2022-08;1.050;3.763;1.371.740;2,74;738;9,52;691;3,79;1899;2,40;435;1,36
2022-09;960;3.584;1.259.368;2,85;705;10,10;665;4,02;1865;2,57;349;1,17
2022-10;713;3.559;931.232;3,82;644;11,82;660;5,06;1921;3,62;334;1,55
2022-11;;;;;;;;;;;;
2022-12;;;;;;;;;;;;
2022-13;;;;;;;;;;;;
2022-14;;;;;;;;;;;;
2022-15;;;;;;;;;;;;
2022-16;;;;;;;;;;;;
2022-17;;;;;;;;;;;;
