Settimana n.;Settimana;Virus;N.;N. campioni;N. campioni analizzati
2017-46;13-19 novembre 2017;FLU A;0;120;120
2017-46;13-19 novembre 2017;A;0;120;120
2017-46;13-19 novembre 2017;A(H3N2) ;0;120;120
2017-46;13-19 novembre 2017;A(H1N1) pdm09 ;0;120;120
2017-46;13-19 novembre 2017;FLU B;2;120;120
2017-47;20-26 novembre 2017;FLU A;1;158;158
2017-47;20-26 novembre 2017;A;0;158;158
2017-47;20-26 novembre 2017;A(H3N2);0;158;158
2017-47;20-26 novembre 2017;A(H1N1) pdm09 ;1;158;158
2017-47;20-26 novembre 2017;FLU B;7;158;158
2017-48;27 novembre-3 dicembre 2017;FLU A;10;163;163
2017-48;27 novembre-3 dicembre 2017;A;2;163;163
2017-48;27 novembre-3 dicembre 2017;A(H3N2);1;163;163
2017-48;27 novembre-3 dicembre 2017;A(H1N1) pdm09 ;7;163;163
2017-48;27 novembre-3 dicembre 2017;FLU B;18;163;163
2017-49;4-10 dicembre 2017;FLU A;13;178;178
2017-49;4-10 dicembre 2017;A;0;178;178
2017-49;4-10 dicembre 2017;A(H3N2);4;178;178
2017-49;4-10 dicembre 2017;A(H1N1) pdm09 ;9;178;178
2017-49;4-10 dicembre 2017;FLU B;27;178;178
2017-50;11-17 dicembre 2017;FLU A;48;292;292
2017-50;11-17 dicembre 2017;A;1;292;292
2017-50;11-17 dicembre 2017;A(H3N2);9;292;292
2017-50;11-17 dicembre 2017;A(H1N1) pdm09 ;38;292;292
2017-50;11-17 dicembre 2017;FLU B;74;292;292
2017-51;18-24 dicembre 2017;FLU A;75;184;184
2017-51;18-24 dicembre 2017;A;3;184;184
2017-51;18-24 dicembre 2017;A(H3N2);6;184;184
2017-51;18-24 dicembre 2017;A(H1N1) pdm09 ;66;184;184
2017-51;18-24 dicembre 2017;FLU B;132;184;184
2017-52;25-31 dicembre 2017;FLU A;160;286;286
2017-52;25-31 dicembre 2017;A;10;286;286
2017-52;25-31 dicembre 2017;A(H3N2);9;286;286
2017-52;25-31 dicembre 2017;A(H1N1) pdm09 ;141;286;286
2017-52;25-31 dicembre 2017;FLU B;251;286;286
2018-01;1-7 gennaio 2018;FLU A;211;640;640
2018-01;1-7 gennaio 2018;A;9;640;640
2018-01;1-7 gennaio 2018;A(H3N2);10;640;640
2018-01;1-7 gennaio 2018;A(H1N1) pdm09 ;192;640;640
2018-01;1-7 gennaio 2018;FLU B;409;640;640
2018-02;8-14 gennaio 2018;FLU A;277;1211;1211
2018-02;8-14 gennaio 2018;A;8;1211;1211
2018-02;8-14 gennaio 2018;A(H3N2);13;1211;1211
2018-02;8-14 gennaio 2018;A(H1N1) pdm09 ;256;1211;1211
2018-02;8-14 gennaio 2018;FLU B;570;1211;1211
2018-03;15-21 gennaio 2018;FLU A;225;1119;1119
2018-03;15-21 gennaio 2018;A;8;1119;1119
2018-03;15-21 gennaio 2018;A(H3N2);15;1119;1119
2018-03;15-21 gennaio 2018;A(H1N1) pdm09 ;202;1119;1119
2018-03;15-21 gennaio 2018;FLU B;455;1119;1119
2018-04;22-28 gennaio 2018;FLU A;205;1029;1029
2018-04;22-28 gennaio 2018;A;12;1029;1029
2018-04;22-28 gennaio 2018;A(H3N2);13;1029;1029
2018-04;22-28 gennaio 2018;A(H1N1) pdm09 ;180;1029;1029
2018-04;22-28 gennaio 2018;FLU B;373;1029;1029
2018-05;29 gennaio-4 febbraio 2018;FLU A;197;1017;1017
2018-05;29 gennaio-4 febbraio 2018;A;13;1017;1017
2018-05;29 gennaio-4 febbraio 2018;A(H3N2);6;1017;1017
2018-05;29 gennaio-4 febbraio 2018;A(H1N1) pdm09 ;178;1017;1017
2018-05;29 gennaio-4 febbraio 2018;FLU B;343;1017;1017
2018-06;5-11 febbraio 2018;FLU A;161;859;859
2018-06;5-11 febbraio 2018;A;7;859;859
2018-06;5-11 febbraio 2018;A(H3N2);5;859;859
2018-06;5-11 febbraio 2018;A(H1N1) pdm09 ;149;859;859
2018-06;5-11 febbraio 2018;FLU B;193;859;859
2018-07;12-18 febbraio 2018;FLU A;158;797;797
2018-07;12-18 febbraio 2018;A;5;797;797
2018-07;12-18 febbraio 2018;A(H3N2);8;797;797
2018-07;12-18 febbraio 2018;A(H1N1) pdm09 ;145;797;797
2018-07;12-18 febbraio 2018;FLU B;143;797;797
2018-08;19-25 febbraio 2018;FLU A;156;787;787
2018-08;19-25 febbraio 2018;A;6;787;787
2018-08;19-25 febbraio 2018;A(H3N2);8;787;787
2018-08;19-25 febbraio 2018;A(H1N1) pdm09 ;142;787;787
2018-08;19-25 febbraio 2018;FLU B;121;787;787
2018-09;26 febbraio-4 marzo 2018;FLU A;87;604;604
2018-09;26 febbraio-4 marzo 2018;A;4;604;604
2018-09;26 febbraio-4 marzo 2018;A(H3N2);6;604;604
2018-09;26 febbraio-4 marzo 2018;A(H1N1) pdm09 ;77;604;604
2018-09;26 febbraio-4 marzo 2018;FLU B;81;604;604
2018-10;5-11 marzo 2018;FLU A;67;556;556
2018-10;5-11 marzo 2018;A;3;556;556
2018-10;5-11 marzo 2018;A(H3N2);2;556;556
2018-10;5-11 marzo 2018;A(H1N1) pdm09 ;62;556;556
2018-10;5-11 marzo 2018;FLU B;51;556;556
2018-11;12-18 marzo 2018;FLU A;49;348;348
2018-11;12-18 marzo 2018;A;1;348;348
2018-11;12-18 marzo 2018;A(H3N2);2;348;348
2018-11;12-18 marzo 2018;A(H1N1) pdm09 ;46;348;348
2018-11;12-18 marzo 2018;FLU B;43;348;348
2018-12;19-25 marzo 2018;FLU A;27;308;308
2018-12;19-25 marzo 2018;A;1;308;308
2018-12;19-25 marzo 2018;A(H3N2);1;308;308
2018-12;19-25 marzo 2018;A(H1N1) pdm09 ;25;308;308
2018-12;19-25 marzo 2018;FLU B;20;308;308
2018-13;26 marzo-1 aprile 2018;FLU A;17;205;205
2018-13;26 marzo-1 aprile 2018;A;2;205;205
2018-13;26 marzo-1 aprile 2018;A(H3N2);3;205;205
2018-13;26 marzo-1 aprile 2018;A(H1N1) pdm09 ;12;205;205
2018-13;26 marzo-1 aprile 2018;FLU B;9;205;205
2018-14;2-8 aprile 2018;FLU A;13;171;171
2018-14;2-8 aprile 2018;A;0;171;171
2018-14;2-8 aprile 2018;A(H3N2);1;171;171
2018-14;2-8 aprile 2018;A(H1N1) pdm09 ;12;171;171
2018-14;2-8 aprile 2018;FLU B;0;171;171
2018-15;9-15 aprile 2018;FLU A;7;165;165
2018-15;9-15 aprile 2018;A;2;165;165
2018-15;9-15 aprile 2018;A(H3N2);0;165;165
2018-15;9-15 aprile 2018;A(H1N1) pdm09 ;5;165;165
2018-15;9-15 aprile 2018;FLU B;1;165;165
2018-16;16-22 aprile 2018;FLU A;4;107;107
2018-16;16-22 aprile 2018;A;1;107;107
2018-16;16-22 aprile 2018;A(H3N2);0;107;107
2018-16;16-22 aprile 2018;A(H1N1) pdm09 ;3;107;107
2018-16;16-22 aprile 2018;FLU B;0;107;107
2018-17;23-29 aprile 2018;FLU A;3;58;58
2018-17;23-29 aprile 2018;A;0;58;58
2018-17;23-29 aprile 2018;A(H3N2);0;58;58
2018-17;23-29 aprile 2018;A(H1N1) pdm09 ;3;58;58
2018-17;23-29 aprile 2018;FLU B;0;58;58
