Nomenclatura OMS;Lignaggio;Numero di casi (cumulativi);% (cumulativi);Numero di casi (ultimi 45 gg);% (ultimi 45 gg)
Alfa;B.1.1.7;28.118;30,4;114;1,2
;B.1.1.7 + E484K;75;0,1;0;0
Beta (a);B.1.351;289;0,3;0;0
Gamma (b);P.1;2.858;3,1;8;0,1
Delta (c) ;B.1.617.2;48.912;52,9;6.134;66,7
Omicron (d);B.1.1.529 ;1437;1,6;1426;15,5
ND (e,f);B.1.525;485;0,5;1;<0,1
ND (e,f);B.1.617.1;633;0,7;59;0,6
ND (e);B.1.617.3;31;<0,1;0;0
ND (e,f);P.2;5;<0,1;0;0
;Altro lignaggio/non indicato (g);9.603;10,4;1455;15,8
Totale;;92.446;100;9.197;100
;;;;;
a: la variante Beta include nel Sistema di Sorveglianza Integrata anche i relativi sotto-lignaggi;;;;;
b: la variante Gamma include nel Sistema di Sorveglianza Integrata anche i relativi sotto-lignaggi ;;;;;
c: la variante Delta include nel Sistema di Sorveglianza Integrata anche i relativi sotto-lignaggi ;;;;;
d: la variante Omicron include nel Sistema di Sorveglianza Integrata anche i relativi sotto-lignaggi;;;;;
e: non disponibile;;;;;
f: precedentemente ÒetaÓ (B.1.525), ÒkappaÓ (B.1.617.1) e ÒzetaÓ (P.2);;;;;
g: si intende un caso genotipizzato appartenente ad altro lignaggio oppure ad un lignaggio non indicato dalle Regioni/PA. ;;;;;
