Settimana n.;Settimana;Virus;N.;N. campioni
2014-46;10-16 novembre 2014;FLU A;1;66
2014-46;10-16 novembre 2014;A;;66
2014-46;10-16 novembre 2014;A(H3N2) ;1;66
2014-46;10-16 novembre 2014;A(H1N1) pdm09 ;;66
2014-46;10-16 novembre 2014;FLU B;0;66
2014-47;17-23 novembre 2014;FLU A;4;58
2014-47;17-23 novembre 2014;A;;58
2014-47;17-23 novembre 2014;A(H3N2);1;58
2014-47;17-23 novembre 2014;A(H1N1) pdm09 ;3;58
2014-47;17-23 novembre 2014;FLU B;0;58
2014-48;24-30 novembre 2014;FLU A;0;60
2014-48;24-30 novembre 2014;A;;60
2014-48;24-30 novembre 2014;A(H3N2);;60
2014-48;24-30 novembre 2014;A(H1N1) pdm09 ;;60
2014-48;24-30 novembre 2014;FLU B;0;60
2014-49;1-7 dicembre 2014;FLU A;6;85
2014-49;1-7 dicembre 2014;A;;85
2014-49;1-7 dicembre 2014;A(H3N2);2;85
2014-49;1-7 dicembre 2014;A(H1N1) pdm09 ;4;85
2014-49;1-7 dicembre 2014;FLU B;0;85
2014-50;8-14 dicembre 2014;FLU A;15;85
2014-50;8-14 dicembre 2014;A;1;85
2014-50;8-14 dicembre 2014;A(H3N2);5;85
2014-50;8-14 dicembre 2014;A(H1N1) pdm09 ;9;85
2014-50;8-14 dicembre 2014;FLU B;2;85
2014-51;15-21 dicembre 2014;FLU A;40;132
2014-51;15-21 dicembre 2014;A;2;132
2014-51;15-21 dicembre 2014;A(H3N2);11;132
2014-51;15-21 dicembre 2014;A(H1N1) pdm09 ;27;132
2014-51;15-21 dicembre 2014;FLU B;0;132
2014-52;22-28 dicembre 2014;FLU A;25;51
2014-52;22-28 dicembre 2014;A;;51
2014-52;22-28 dicembre 2014;A(H3N2);7;51
2014-52;22-28 dicembre 2014;A(H1N1) pdm09 ;18;51
2014-52;22-28 dicembre 2014;FLU B;2;51
2015-01;29 dicembre 2014-4 gennaio 2015;FLU A;85;174
2015-01;29 dicembre 2014-4 gennaio 2015;A;10;174
2015-01;29 dicembre 2014-4 gennaio 2015;A(H3N2);12;174
2015-01;29 dicembre 2014-4 gennaio 2015;A(H1N1) pdm09 ;63;174
2015-01;29 dicembre 2014-4 gennaio 2015;FLU B;5;174
2015-02;5-11 gennaio 2015;FLU A;186;377
2015-02;5-11 gennaio 2015;A;12;377
2015-02;5-11 gennaio 2015;A(H3N2);29;377
2015-02;5-11 gennaio 2015;A(H1N1) pdm09 ;145;377
2015-02;5-11 gennaio 2015;FLU B;7;377
2015-03;12-18 gennaio 2015;FLU A;384;617
2015-03;12-18 gennaio 2015;A;11;617
2015-03;12-18 gennaio 2015;A(H3N2);108;617
2015-03;12-18 gennaio 2015;A(H1N1) pdm09 ;265;617
2015-03;12-18 gennaio 2015;FLU B;17;617
2015-04;19-25 gennaio 2015;FLU A;514;878
2015-04;19-25 gennaio 2015;A;36;878
2015-04;19-25 gennaio 2015;A(H3N2);158;878
2015-04;19-25 gennaio 2015;A(H1N1) pdm09 ;320;878
2015-04;19-25 gennaio 2015;FLU B;19;878
2015-05;26 gennaio-1 febbraio 2015;FLU A;486;835
2015-05;26 gennaio-1 febbraio 2015;A;23;835
2015-05;26 gennaio-1 febbraio 2015;A(H3N2);206;835
2015-05;26 gennaio-1 febbraio 2015;A(H1N1) pdm09 ;257;835
2015-05;26 gennaio-1 febbraio 2015;FLU B;40;835
2015-06;2-8 febbraio 2015;FLU A;438;762
2015-06;2-8 febbraio 2015;A;27;762
2015-06;2-8 febbraio 2015;A(H3N2);212;762
2015-06;2-8 febbraio 2015;A(H1N1) pdm09 ;199;762
2015-06;2-8 febbraio 2015;FLU B;47;762
2015-07;9-15 febbraio 2015;FLU A;332;841
2015-07;9-15 febbraio 2015;A;25;841
2015-07;9-15 febbraio 2015;A(H3N2);179;841
2015-07;9-15 febbraio 2015;A(H1N1) pdm09 ;128;841
2015-07;9-15 febbraio 2015;FLU B;45;841
2015-08;16-22 febbraio 2015;FLU A;220;702
2015-08;16-22 febbraio 2015;A;18;702
2015-08;16-22 febbraio 2015;A(H3N2);137;702
2015-08;16-22 febbraio 2015;A(H1N1) pdm09 ;65;702
2015-08;16-22 febbraio 2015;FLU B;45;702
2015-09;23 febbraio-1 marzo 2015;FLU A;137;556
2015-09;23 febbraio-1 marzo 2015;A;19;556
2015-09;23 febbraio-1 marzo 2015;A(H3N2);88;556
2015-09;23 febbraio-1 marzo 2015;A(H1N1) pdm09 ;30;556
2015-09;23 febbraio-1 marzo 2015;FLU B;64;556
2015-10;2-8 marzo 2015;FLU A;94;438
2015-10;2-8 marzo 2015;A;13;438
2015-10;2-8 marzo 2015;A(H3N2);49;438
2015-10;2-8 marzo 2015;A(H1N1) pdm09 ;32;438
2015-10;2-8 marzo 2015;FLU B;70;438
2015-11;9-15 marzo 2015;FLU A;54;321
2015-11;9-15 marzo 2015;A;11;321
2015-11;9-15 marzo 2015;A(H3N2);27;321
2015-11;9-15 marzo 2015;A(H1N1) pdm09 ;16;321
2015-11;9-15 marzo 2015;FLU B;61;321
2015-12;16-22 marzo 2015;FLU A;34;267
2015-12;16-22 marzo 2015;A;5;267
2015-12;16-22 marzo 2015;A(H3N2);21;267
2015-12;16-22 marzo 2015;A(H1N1) pdm09 ;8;267
2015-12;16-22 marzo 2015;FLU B;51;267
2015-13;23-29 marzo 2015;FLU A;29;278
2015-13;23-29 marzo 2015;A;7;278
2015-13;23-29 marzo 2015;A(H3N2);15;278
2015-13;23-29 marzo 2015;A(H1N1) pdm09 ;7;278
2015-13;23-29 marzo 2015;FLU B;50;278
2015-14;30 marzo-5 aprile 2015;FLU A;15;183
2015-14;30 marzo-5 aprile 2015;A;2;183
2015-14;30 marzo-5 aprile 2015;A(H3N2);9;183
2015-14;30 marzo-5 aprile 2015;A(H1N1) pdm09 ;4;183
2015-14;30 marzo-5 aprile 2015;FLU B;35;183
2015-15;6-12 aprile 2015;FLU A;6;149
2015-15;6-12 aprile 2015;A;3;149
2015-15;6-12 aprile 2015;A(H3N2);2;149
2015-15;6-12 aprile 2015;A(H1N1) pdm09 ;1;149
2015-15;6-12 aprile 2015;FLU B;22;149
2015-16;13-19 aprile 2015;FLU A;6;142
2015-16;13-19 aprile 2015;A;1;142
2015-16;13-19 aprile 2015;A(H3N2);1;142
2015-16;13-19 aprile 2015;A(H1N1) pdm09 ;4;142
2015-16;13-19 aprile 2015;FLU B;15;142
2015-17;20-26 aprile 2015;FLU A;1;105
2015-17;20-26 aprile 2015;A;;105
2015-17;20-26 aprile 2015;A(H3N2);;105
2015-17;20-26 aprile 2015;A(H1N1) pdm09 ;1;105
2015-17;20-26 aprile 2015;FLU B;3;105
;;;;
