"date","url","region","number_laboratories","number_detections_variant","number_sequenced","n_B-1-1-7","n_P-1","n_B-1-351","n_B-1-617-2","n_B-1-1-529","n_BA-1","n_BA-2","n_BA-3","n_BA-4","n_BA-5","n_XJ","n_XL","n_XM","n_XN","n_XQ","n_XT","n_P-2","n_B-1-525","percent_B-1-1-7","percent_P-1","percent_B-1-351","percent_B-1-617-2","percent_B-1-1-529","percent_BA-1","percent_BA-2","percent_BA-3","percent_BA-4","percent_BA-5","percent_XJ","percent_XL","percent_XM","percent_XN","percent_XQ","percent_XT","percent_P-2","percent_B-1-525"
"18/02/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Flash_survey/Flash_survey_n_1/Flash_survey_n_1.pdf","Abruzzo",2,374,61,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.8,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0
"18/02/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Flash_survey/Flash_survey_n_1/Flash_survey_n_1.pdf","Basilicata",5,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0
"18/02/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Flash_survey/Flash_survey_n_1/Flash_survey_n_1.pdf","Calabria",3,166,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0
"18/02/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Flash_survey/Flash_survey_n_1/Flash_survey_n_1.pdf","Campania",2,366,86,51,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.3,2.3,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0
"18/02/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Flash_survey/Flash_survey_n_1/Flash_survey_n_1.pdf","Emilia-Romagna",2,99,99,57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.6,2,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0
"18/02/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Flash_survey/Flash_survey_n_1/Flash_survey_n_1.pdf","Friuli-Venezia Giulia",4,133,28,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.6,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0
"18/02/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Flash_survey/Flash_survey_n_1/Flash_survey_n_1.pdf","Lazio",5,169,169,49,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,13.2,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0
"18/02/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Flash_survey/Flash_survey_n_1/Flash_survey_n_1.pdf","Liguria",6,227,22,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.7,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0
"18/02/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Flash_survey/Flash_survey_n_1/Flash_survey_n_1.pdf","Lombardia",9,213,213,137,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.3,0,1.4,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0
"18/02/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Flash_survey/Flash_survey_n_1/Flash_survey_n_1.pdf","Marche",8,38,38,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.9,7.9,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0
