variant;number_cases;percent_cases_variant;number_cases_last_45_days;perc_cases_last_45_days;variant_sex_female;percent_variant_female;variant_sex_female_last_45_days;percent_variant_female_last_45_days;variant_sex_male;percent_variant_male;variant_sex_male_last_45_days;percent_variant_male_last_45_days;native_case;imported_case;native_case_last_45_days;imported_case_last_45_days
B.1.1.7;27.188;57,9;779;7,9;13.601;59,7;346;7,8;13.587;56,2;433;8;26.944;244;748;31
B.1.1.7 + E484K;70;0,1;6;0,1;33;0,1;1;<0,1;37;0,2;5;0,1;70;0;6;0
B.1.351;283;0,6;8;0,1;134;0,6;7;0,2;149;0,6;1;<0,1;272;11;7;1
P.1;2.801;6;176;1,8;1.370;6;83;1,9;1.431;5,9;93;1,7;2.770;31;171;5
B.1.617.2;10.281;21,9;8.111;82,4;4.588;20,1;3.629;82,2;5.693;23,6;4.482;82,5;9.533;748;7.576;535
B.1.525;424;0,9;7;0,1;173;0,8;4;0,1;251;1;3;0,1;360;64;5;2
B.1.617.1;191;0,4;133;1,3;78;0,3;52;1,2;113;0,5;81;1,5;189;2;133;0
B.1.617.3;6;<0,1;5;0,1;4;<0,1;3;0,1;2;<0,1;2;<0,1;6;0;5;0
P.2;5;<0,1;0;0;1;<0,1;0;0;4;<0,1;0;0;5;0;0;0
Altro lignaggio/non indicato;5.703;12,1;617;6,2;2.800;12,3;286;6,5;2.903;12;331;6,1;5.562;141;584;33
