Settimana n.;Settimana;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Categoria incidenza;Assistiti (0-4 anni);Casi (0-4 anni);Inc (0-4 anni);Assistiti (5-14 anni);Casi (5-14 anni);Inc (5-14 anni);Assistiti (15-64 anni);Casi (15-64 anni);Inc (15-64 anni);Assistiti (65 anni e oltre);Casi (65 anni e oltre);Inc (65 anni e oltre)
2012-42;15-21 ottobre 2012;909;397;1.178.056;0,34;<2;81.821;76;0,93;155.899;46;0,3;699.519;229;0,33;240.817;46;0,19
2012-43;22-28 ottobre 2012;981;588;1.274.569;0,46;<2;86.180;120;1,39;167.842;68;0,41;756.187;336;0,44;264.360;64;0,24
2012-44;29 ottobre-4 novembre 2012;994;665;1.293.685;0,51;<2;86.195;128;1,49;168.184;87;0,52;771.051;368;0,48;268.255;82;0,31
2012-45;5-11 novembre 2012;1.022;920;1.328.625;0,69;<2;90.279;176;1,95;175.264;126;0,72;787.551;510;0,65;275.531;108;0,39
2012-46;12-18 novembre 2012;1.027;1.026;1.334.317;0,77;<2;90.571;202;2,23;174.872;143;0,82;791.779;571;0,72;277.095;110;0,4
2012-47;19-25 novembre 2012;1.023;1.181;1.331.392;0,89;<2;90.142;236;2,62;174.063;176;1,01;790.019;662;0,84;277.168;107;0,39
2012-48;26 novembre-2 dicembre 2012;1.047;1.460;1.360.022;1,07;<2;93.791;265;2,83;180.130;242;1,34;806.008;818;1,01;280.093;135;0,48
2012-49;3-9 dicembre 2012;1.044;1.784;1.359.398;1,31;<2;90.933;339;3,73;177.231;292;1,65;809.184;998;1,23;282.050;155;0,55
2012-50;10-16 dicembre 2012;1.053;2.290;1.367.740;1,67;<2;92.872;441;4,75;180.000;438;2,43;811.247;1.226;1,51;283.621;185;0,65
2012-51;17-23 dicembre 2012;1.010;2.940;1.314.336;2,24;<5;88.881;634;7,13;172.340;638;3,7;781.046;1.425;1,82;272.069;243;0,89
2012-52;24-30 dicembre 2012;991;3.302;1.288.749;2,56;<5;87.298;613;7,02;169.184;695;4,11;766.216;1.670;2,18;266.051;324;1,22
2013-01;31 dicembre 2012-6 gennaio 2013;1.037;4.751;1.348.598;3,52;<5;90.570;722;7,97;176.744;814;4,61;802.694;2.734;3,41;278.590;481;1,73
2013-02;7-13 gennaio 2013;1.062;7.165;1.382.554;5,18;<9;92.948;1.021;10,98;178.078;1.297;7,28;824.212;4.183;5,08;287.316;664;2,31
2013-03;14-20 gennaio 2013;1.056;9.113;1.372.457;6,64;<9;92.087;1.673;18,17;178.706;2.285;12,79;816.840;4.489;5,5;284.824;666;2,34
2013-04;21-27 gennaio 2013;1.049;11.237;1.362.074;8,25;<9;91.706;2.097;22,87;177.893;3.181;17,88;810.347;5.248;6,48;282.128;711;2,52
2013-05;28 gennaio-3 febbraio 2013;1.050;13.062;1.366.270;9,56;>=9;92.104;2.387;25,92;177.992;3.930;22,08;813.242;5.925;7,29;282.932;820;2,9
2013-06;4-10 febbraio 2013;1.039;13.472;1.350.138;9,98;>=9;93.550;2.438;26,06;180.309;3.936;21,83;798.594;6.284;7,87;277.685;814;2,93
2013-07;11-17 febbraio 2013;1.026;12.975;1.335.564;9,71;>=9;89.480;2.098;23,45;173.317;3.500;20,19;794.785;6.531;8,22;277.982;846;3,04
2013-08;18-24 febbraio 2013;1.035;12.423;1.346.390;9,23;>=9;92.272;2.046;22,17;178.583;3.165;17,72;797.451;6.381;8;278.084;831;2,99
2013-09;25 febbraio-3 marzo 2013;1.034;10.280;1.341.570;7,66;<9;93.388;1.722;18,44;179.482;2.529;14,09;792.187;5.344;6,75;276.513;685;2,48
2013-10;4-10 marzo 2013;1.008;7.734;1.309.596;5,91;<9;89.558;1.252;13,98;173.391;1.785;10,29;775.590;4.126;5,32;271.057;571;2,11
2013-11;11-17 marzo 2013;983;5.469;1.277.946;4,28;<5;86.297;761;8,82;167.419;1.171;6,99;758.713;3.113;4,1;265.517;424;1,6
2013-12;18-24 marzo 2013;955;3.938;1.237.031;3,18;<5;86.869;586;6,75;167.966;848;5,05;726.596;2.209;3,04;255.600;295;1,15
2013-13;25-31 marzo 2013;909;2.575;1.183.542;2,18;<5;78.773;394;5;154.966;527;3,4;702.813;1.466;2,09;246.990;188;0,76
2013-14;1-7 aprile 2013;877;1.763;1.138.960;1,55;<2;78.310;244;3,12;152.982;329;2,15;671.862;1.040;1,55;235.806;150;0,64
2013-15;8-14 aprile 2013;833;1.239;1.083.715;1,14;<2;71.733;191;2,66;141.754;220;1,55;643.547;709;1,1;226.681;119;0,52
2013-16;15-21 aprile 2013;664;740;954.717;0,78;<2;60.315;124;2,06;120.129;132;1,1;571.912;409;0,72;202.361;75;0,37
2013-17;22-28 aprile 2013;588;398;774.180;0,51;<2;43.737;69;1,58;92.186;83;0,9;468.915;208;0,44;169.342;38;0,22
