Settimana;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
2021-42;1.197;4.144;1.560.992;2,65;846;9,72;588;2,87;2230;2,47;480;1,31
2021-43;1.207;4.863;1.575.658;3,09;1146;13,16;666;3,25;2538;2,78;513;1,39
2021-44;1.203;5.371;1.570.483;3,42;1244;14,50;777;3,83;2749;3,01;601;1,63
2021-45;1.196;6.341;1.563.548;4,06;1552;18,28;992;4,96;3083;3,39;714;1,94
2021-46;1.128;6.762;1.479.159;4,57;1685;21,23;1046;5,54;3289;3,81;742;2,13
2021-47;1.043;6.780;1.366.129;4,96;1558;21,43;1081;6,18;3380;4,24;761;2,36
2021-48;711;4.458;934.438;4,77;846;17,58;656;5,62;2396;4,37;560;2,54
2021-49;;;;;;;;;;;;
2021-50;;;;;;;;;;;;
2021-51;;;;;;;;;;;;
2021-52;;;;;;;;;;;;
2022-01;;;;;;;;;;;;
2022-02;;;;;;;;;;;;
2022-03;;;;;;;;;;;;
2022-04;;;;;;;;;;;;
2022-05;;;;;;;;;;;;
2022-06;;;;;;;;;;;;
2022-07;;;;;;;;;;;;
2022-08;;;;;;;;;;;;
2022-09;;;;;;;;;;;;
2022-10;;;;;;;;;;;;
2022-11;;;;;;;;;;;;
2022-12;;;;;;;;;;;;
2022-13;;;;;;;;;;;;
2022-14;;;;;;;;;;;;
2022-15;;;;;;;;;;;;
2022-16;;;;;;;;;;;;
2022-17;;;;;;;;;;;;
