variant;number_sequenced;percent_cases_sequenced;number_sequenced_last_45_days;percent_cases_sequenced_last_45_days
B.1.1.7;19.164;29,05;12;0,20
B.1.1.7 + E484K;32;0,05;0;0,00
Q.1;41;0,06;0;0,00
Q.2;1.005;1,52;0;0,00
Q.4;5;0,01;0;0,00
Q.7;1;<0,01;0;0,00
Q.8;7;0,01;1;0,02
20I (Alpha, V1);81;0,12;0;0,00
B.1.351;51;0,08;0;0,00
B.1.351.2;14;0,02;0;0,00
B.1.351.3;30;0,05;0;0,00
B.1.351.5;9;0,01;0;0,00
20H (Beta, V2);29;0,04;0;0,00
P.1;144;0,22;0;0,00
P.1.1;2.242;3,40;1;0,02
P.1.2;1;<0,01;0;0,00
P.1.10;1;<0,01;0;0,00
P.1.12;14;0,02;0;0,00
P.1.13;1;<0,01;0;0,00
P.1.14;11;0,01;0;0,00
P.1.15;18;0,03;0;0,00
P.1.16;1;<0,01;0;0,00
P.1.17;2;<0,01;0;0,00
P.1.17.1;2;<0,01;0;0,00
20J (Gamma, V3);161;0,24;0;0,00
B.1.617.2;2.073;3,14;244;4,16
AY.1;9;0,01;0;0,00
AY.3;23;0,03;8;0,14
AY.4;2.462;3,73;684;11,65
AY.4.1;1;<0,01;1;0,02
AY.4.2;227;0,34;144;2,45
AY.4.2.1;8;0,01;5;0,09
AY.4.3;26;0,04;3;0,05
AY.4.4;34;0,05;17;0,29
AY.4.5;138;0,21;84;1,43
AY.5;383;0,58;69;1,18
AY.5.4;208;0,32;29;0,49
AY.6;351;0,53;27;0,46
AY.7;24;0,04;1;0,02
AY.7.1;8;0,01;1;0,02
AY.7.2;848;1,29;24;0,41
AY.8;1;<0,01;0;0,00
AY.9;213;0,32;21;0,36
AY.9.1;145;0,22;30;0,51
AY.9.2;565;0,86;79;1,35
AY.14;36;0,05;4;0,07
AY.16.1;3;<0,01;0;0,00
AY.17;6;0,01;0;0,00
AY.19;10;0,02;0;0,00
AY.20;42;0,06;9;0,15
AY.21;278;0,42;0;0,00
AY.22;4;0,01;1;0,02
AY.23;156;0,24;41;0,70
AY.24;16;0,02;0;0,00
AY.25;52;0,08;7;0,12
AY.26;11;0,02;1;0,02
AY.27;3;<0,01;1;0,02
AY.29;6;0,01;0;0,00
AY.30;1;<0,01;0;0,00
AY.32;29;0,04;13;0,22
AY.33;301;0,46;32;0,55
AY.34;332;0,50;36;0,61
AY.34.1;2;<0,01;2;0,03
AY.35;8;0,01;2;0,03
AY.36;87;0,13;29;0,49
AY.37;108;0,16;8;0,14
AY.38;10;0,02;0;0,00
AY.39;207;0,31;15;0,26
AY.39.2;1;<0,01;1;0,02
AY.40;1;<0,01;0;0,00
AY.41;20;0,03;0;0,00
AY.42;1.265;1,92;145;2,47
AY.43;8.502;12,89;1.398;23,81
AY.43.1;25;0,04;0;0,00
AY.44;200;0,30;32;0,55
AY.45;29;0,04;6;0,10
AY.46;211;0,32;29;0,49
AY.46.1;5;0,01;0;0,00
AY.46.2;11;0,02;2;0,03
AY.46.3;2;<0,01;0;0,00
AY.46.4;2;<0,01;1;0,02
AY.46.5;6;0,01;5;0,09
AY.46.6;947;1,44;174;2,96
AY.47;13;0,02;1;0,02
AY.48;2;<0,01;1;0,02
AY.49;18;0,03;2;0,03
AY.50;14;0,02;0;0,00
AY.51;34;0,05;5;0,09
AY.53;182;0,28;1;0,02
AY.54;5;0,01;1;0,02
AY.55;20;0,03;8;0,14
AY.56;9;0,01;3;0,05
AY.57;3;<0,01;0;0,00
AY.58;570;0,86;130;2,21
AY.59;9;0,01;0;0,00
AY.60;2;<0,01;0;0,00
AY.61;1.406;2,13;26;0,44
AY.62;8;0,01;2;0,03
AY.64;2;<0,01;0;0,00
AY.65;12;0,02;1;0,02
AY.66;36;0,05;3;0,05
AY.67;20;0,03;1;0,02
AY.68;389;0,59;8;0,14
AY.69;13;0,02;1;0,02
AY.70;73;0,11;4;0,07
AY.71;340;0,52;2;0,03
AY.72;35;0,05;15;0,26
AY.73;68;0,10;8;0,14
AY.75;51;0,08;9;0,15
AY.75.1;89;0,13;13;0,22
AY.77;4;0,01;3;0,05
AY.78;5;0,01;1;0,02
AY.80;23;0,03;20;0,34
AY.82;1;<0,01;0;0,00
AY.83;2;<0,01;0;0,00
AY.84;18;0,03;4;0,07
AY.85;10;0,02;0;0,00
AY.86;9;0,01;1;0,02
AY.87;11;0,02;1;0,02
AY.88;22;0,03;1;0,02
AY.89;5;0,01;0;0,00
AY.90;8;0,01;1;0,02
AY.91;15;0,02;1;0,02
AY.91.1;2;<0,01;0;0,00
AY.92;326;0,49;42;0,72
AY.93;21;0,03;5;0,09
AY.94;15;0,02;0;0,00
AY.95;60;0,09;0;0,00
AY.96;6;0,01;0;0,00
AY.97;27;0,04;3;0,05
AY.98;110;0,17;35;0,60
AY.98.1;1.502;2,28;125;2,13
AY.99;18;0,03;8;0,14
AY.99.1;1;<0,01;0;0,00
AY.99.2;1;<0,01;0;0,00
AY.100;19;0,03;4;0,07
AY.101;31;0,05;2;0,03
AY.102;1.150;1,74;104;1,77
AY.103;133;0,20;34;0,58
AY.104;2;<0,01;0;0,00
AY.105;6;0,01;0;0,00
AY.106;43;0,07;12;0,20
AY.107;1;<0,01;0;0,00
AY.108;57;0,09;10;0,17
AY.109;22;0,03;3;0,05
AY.110;66;0,10;19;0,32
AY.111;12;0,02;9;0,15
AY.112;13;0,02;3;0,05
AY.113;55;0,08;6;0,10
AY.114;15;0,02;4;0,07
AY.116;236;0,36;8;0,14
AY.117;6;0,01;1;0,02
AY.118;65;0,10;12;0,20
AY.119;7;0,01;1;0,02
AY.120;195;0,30;36;0,61
AY.120.1;6;0,01;5;0,09
AY.120.2;3;<0,01;0;0,00
AY.120.2.1;35;0,05;5;0,09
AY.121;75;0,11;30;0,51
AY.122;6.540;9,91;1.003;17,08
AY.122.1;86;0,13;42;0,72
21A (Delta);1.258;1,91;281;4,79
21I (Delta);250;0,38;30;0,51
21J (Delta);1.504;2,28;222;3,78
B.1.525;435;0,66;0;0,00
21D;58;0,09;0;0,00
B.1.617.1;19;0,03;0;0,00
C.37;14;0,02;0;0,00
C.37.1;4;0,01;0;0,00
P.2;6;0,01;0;0,00
Other;4.150;6,29;10;0,17
