Data;Totale ATA;ATA positivi;Incidenza positivi;ATA quarantena;Incidenza quarantena;ATA sospesi;ATA sospesi (%)
20/09/2021 - 27/09/2021;-;-;0,13%;-;-;-;-
27/09/2021 - 03/10/2021;-;-;0,16%;-;-;-;-
4/10/2021 - 10/10/2021;17.320;21;0,12%;-;-;-;-
11/10/2021 - 17/10/2021;18.419;16;0,09%;-;-;-;-
18/10/2021 - 24/10/2021;16.831;16;0,10%;-;-;-;-
01/11/2021 - 07/11/2021;18.347;21;0,11%;-;-;-;-
08/11/2021 - 14/11/2021;18.364;36;0,20%;-;-;-;-
15/11/2021 - 21/11/2021;-;-;0,23%;-;-;-;-
22/11/2021 - 28/11/2021;17.836;51;0,29%;-;-;-;-
29/11/2021 - 05/12/2021;17.789;55;0,31%;-;-;-;-
18/01/22;-;837;3,99%;298;1,42%;148;0,71%
24/01/22;-;584;2,96%;229;1,16%;165;0,68%
